2.554195011	1	9.891700680
2.554195011	2	11.192018141
13.746213152	1	9.984580499
13.746213152	2	11.284897959
24.984671202	1	9.891700680
25.031111111	2	11.284897959
36.269569161	2	11.192018141
36.316009070	1	9.798820862
47.461587302	1	9.938140590
47.461587302	2	11.145578231
58.607165533	1	9.984580499
58.607165533	2	11.331337868
69.938503401	1	9.845260771
69.938503401	2	11.331337868
81.269841270	1	9.984580499
81.269841270	2	11.099138322
92.368979592	1	9.891700680
92.368979592	2	11.284897959
103.653877551	1	9.938140590
103.653877551	2	11.331337868
114.985215420	1	9.891700680
114.985215420	2	11.099138322
126.084353741	1	10.031020408
126.084353741	2	11.238458050
137.322811791	1	10.031020408
137.322811791	2	11.377777778
148.700589569	1	9.891700680
148.700589569	2	11.238458050
159.939047619	1	10.031020408
159.939047619	2	11.192018141
171.131065760	1	9.984580499
171.177505669	2	11.145578231
182.288253968	2	11.296507937
182.323083900	1	9.984580499
193.561541950	1	10.031020408
193.584761905	2	11.459047619
204.985759637	1	9.891700680
205.043809524	2	11.133968254
216.038458050	1	10.031020408
216.177777778	2	11.215238095
227.323356009	1	9.891700680
227.393015873	2	11.133968254
238.468934240	0	1.532517007
